==================================================
CIFAR-10 ResNet 訓練紀錄
==================================================
電腦名稱     : Mac.youyu08.in
Python 版本  : 3.10.12
PyTorch 版本 : 2.2.0
訓練裝置類型 : MPS
裝置名稱     : Apple M4 Pro
訓練開始時間 : 2026-05-02 12:09:40
總訓練時間   : 1525.49 秒

--------------------------------------------------
Epoch    Loss       Train Acc    Test Acc     累計時間
--------------------------------------------------
1/30    1.4420     46.61        55.58        69.59s
2/30    0.9555     65.87        61.60        136.40s
3/30    0.7663     72.81        71.76        204.85s
4/30    0.6320     77.93        74.62        270.82s
5/30    0.5480     81.04        78.77        335.58s
6/30    0.4889     83.06        82.24        400.39s
7/30    0.4360     84.82        77.17        465.61s
8/30    0.4005     86.34        78.88        531.96s
9/30    0.3693     87.16        83.10        598.75s
10/30    0.3368     88.34        84.77        665.56s
11/30    0.2581     91.13        86.38        734.36s
12/30    0.2314     92.01        87.71        801.98s
13/30    0.2196     92.27        87.61        870.87s
14/30    0.2089     92.87        85.41        910.03s
15/30    0.1947     93.17        87.16        947.48s
16/30    0.1834     93.68        87.36        985.07s
17/30    0.1728     93.94        88.07        1022.88s
18/30    0.1667     94.21        88.26        1060.87s
19/30    0.1516     94.80        88.81        1098.86s
20/30    0.1412     95.08        87.12        1137.87s
21/30    0.1007     96.64        90.24        1176.71s
22/30    0.0833     97.28        90.65        1215.34s
23/30    0.0783     97.39        90.59        1253.99s
24/30    0.0739     97.51        90.18        1292.42s
25/30    0.0697     97.71        90.08        1330.85s
26/30    0.0634     97.83        90.16        1369.59s
27/30    0.0614     97.93        90.64        1408.35s
28/30    0.0571     98.09        90.48        1447.22s
29/30    0.0581     98.03        90.89        1486.40s
30/30    0.0518     98.32        90.86        1525.49s
--------------------------------------------------

訓練完成
