==================================================
CIFAR-10 ResNet 訓練紀錄
==================================================
電腦名稱     : Alberts-MacBook-Pro-6.local
Python 版本  : 3.10.12
PyTorch 版本 : 2.2.0
訓練裝置類型 : MPS
裝置名稱     : Apple M4 Pro
訓練開始時間 : 2026-05-02 12:59:15
總訓練時間   : 1752.99 秒

--------------------------------------------------
Epoch    Loss       Train Acc    Test Acc     累計時間
--------------------------------------------------
1/50    1.4157     47.64        49.81        35.61s
2/50    0.9494     65.88        63.28        71.11s
3/50    0.7552     73.49        67.99        106.49s
4/50    0.6195     78.28        75.20        141.50s
5/50    0.5365     81.47        76.62        176.49s
6/50    0.4780     83.33        77.87        211.55s
7/50    0.4305     85.12        80.00        246.66s
8/50    0.3921     86.62        83.20        281.66s
9/50    0.3597     87.66        82.93        316.59s
10/50    0.3325     88.50        76.21        351.51s
11/50    0.2539     91.25        87.02        386.41s
12/50    0.2311     92.18        86.77        421.31s
13/50    0.2170     92.60        88.50        456.23s
14/50    0.2065     92.85        87.67        491.12s
15/50    0.1971     93.17        83.46        526.03s
16/50    0.1814     93.66        87.56        560.93s
17/50    0.1722     94.05        87.10        595.83s
18/50    0.1606     94.40        87.89        630.75s
19/50    0.1511     94.84        89.00        665.69s
20/50    0.1421     95.05        88.62        700.61s
21/50    0.0983     96.76        90.72        735.53s
22/50    0.0858     97.20        90.49        770.42s
23/50    0.0796     97.29        90.25        805.32s
24/50    0.0750     97.50        90.71        840.49s
25/50    0.0677     97.83        90.64        875.73s
26/50    0.0664     97.73        90.72        910.66s
27/50    0.0657     97.73        90.76        945.60s
28/50    0.0578     98.13        90.94        980.51s
29/50    0.0548     98.12        90.64        1015.45s
30/50    0.0518     98.29        90.91        1050.37s
31/50    0.0353     98.95        91.35        1085.30s
32/50    0.0297     99.19        91.33        1120.21s
33/50    0.0269     99.27        91.58        1155.12s
34/50    0.0245     99.29        91.52        1190.02s
35/50    0.0248     99.31        91.45        1224.96s
36/50    0.0231     99.36        91.47        1259.90s
37/50    0.0213     99.40        91.61        1294.87s
38/50    0.0216     99.38        91.53        1329.87s
39/50    0.0206     99.41        91.32        1364.88s
40/50    0.0208     99.42        91.44        1400.20s
41/50    0.0154     99.61        91.76        1435.99s
42/50    0.0125     99.73        91.53        1472.24s
43/50    0.0130     99.69        91.78        1508.01s
44/50    0.0118     99.73        91.73        1543.11s
45/50    0.0121     99.70        92.03        1578.05s
46/50    0.0112     99.73        91.72        1613.05s
47/50    0.0118     99.70        91.68        1648.03s
48/50    0.0102     99.78        91.66        1683.04s
49/50    0.0100     99.76        91.77        1718.01s
50/50    0.0100     99.75        91.50        1752.99s
--------------------------------------------------

訓練完成
