==================================================
CIFAR-10 ResNet 訓練紀錄
==================================================
電腦名稱     : aero01
Python 版本  : 3.10.12
PyTorch 版本 : 2.0.1+cu117
訓練裝置類型 : CUDA
裝置名稱     : NVIDIA L40S (47.67 GB)
CUDA 版本    : 11.7
訓練開始時間 : 2026-05-04 23:39:23
總訓練時間   : 2261.76 秒

--------------------------------------------------
Epoch    Loss       Train Acc    Test Acc     累計時間
--------------------------------------------------
1/100   1.7023     43.76        50.65        26.18s
2/100   1.3206     63.48        58.12        48.81s
3/100   1.1519     72.08        67.68        71.92s
4/100   1.0405     77.18        74.11        94.54s
5/100   0.9809     80.28        78.46        116.90s
6/100   0.9271     82.65        71.47        139.28s
7/100   0.8912     84.09        70.30        161.84s
8/100   0.8577     85.69        82.79        184.27s
9/100   0.8326     86.71        80.52        206.81s
10/100   0.8121     87.62        77.82        229.65s
11/100   0.7903     88.60        86.37        252.57s
12/100   0.7767     89.12        86.17        275.35s
13/100   0.7557     90.01        82.01        297.98s
14/100   0.7459     90.48        82.27        320.59s
15/100   0.7339     90.98        84.26        343.20s
16/100   0.7209     91.60        87.03        365.75s
17/100   0.7098     91.98        87.47        388.18s
18/100   0.6995     92.39        86.81        410.71s
19/100   0.6931     92.71        87.19        433.38s
20/100   0.6813     93.20        88.48        456.26s
21/100   0.6745     93.43        88.36        479.12s
22/100   0.6708     93.61        88.79        501.56s
23/100   0.6569     94.29        88.85        524.02s
24/100   0.6557     94.35        88.28        546.45s
25/100   0.6490     94.54        88.61        568.97s
26/100   0.6468     94.63        88.34        591.50s
27/100   0.6358     95.18        89.93        613.99s
28/100   0.6382     95.06        87.89        636.55s
29/100   0.6275     95.51        89.86        659.56s
30/100   0.6204     95.80        90.31        682.23s
31/100   0.6162     95.90        90.62        704.65s
32/100   0.6094     96.26        90.99        727.11s
33/100   0.6065     96.34        89.12        749.48s
34/100   0.6035     96.48        90.09        771.86s
35/100   0.6017     96.59        89.61        794.42s
36/100   0.5970     96.84        90.37        817.08s
37/100   0.5907     97.14        91.23        839.88s
38/100   0.5908     96.97        90.58        862.80s
39/100   0.5863     97.20        91.48        885.25s
40/100   0.5808     97.49        91.03        907.65s
41/100   0.5802     97.42        90.78        930.19s
42/100   0.5766     97.62        90.86        952.67s
43/100   0.5714     97.82        91.77        975.24s
44/100   0.5741     97.67        91.65        997.72s
45/100   0.5663     97.99        91.09        1020.27s
46/100   0.5655     98.12        91.93        1043.11s
47/100   0.5602     98.32        91.82        1065.90s
48/100   0.5599     98.33        90.98        1088.22s
49/100   0.5578     98.35        91.99        1110.73s
50/100   0.5552     98.48        91.94        1133.22s
51/100   0.5544     98.50        92.44        1155.75s
52/100   0.5482     98.71        90.72        1178.22s
53/100   0.5492     98.68        92.17        1200.73s
54/100   0.5447     98.94        91.74        1223.64s
55/100   0.5438     98.93        92.34        1246.68s
56/100   0.5409     99.01        92.68        1269.08s
57/100   0.5392     99.10        92.83        1291.55s
58/100   0.5388     99.14        92.61        1314.03s
59/100   0.5376     99.11        92.31        1336.49s
60/100   0.5358     99.21        92.46        1358.99s
61/100   0.5338     99.29        92.70        1381.45s
62/100   0.5314     99.37        92.47        1403.89s
63/100   0.5295     99.47        92.53        1426.78s
64/100   0.5284     99.45        92.35        1449.47s
65/100   0.5278     99.46        92.88        1471.93s
66/100   0.5251     99.56        92.44        1494.43s
67/100   0.5238     99.62        92.50        1516.94s
68/100   0.5222     99.68        93.16        1539.46s
69/100   0.5218     99.67        93.03        1561.93s
70/100   0.5201     99.73        93.12        1584.40s
71/100   0.5191     99.78        93.14        1607.26s
72/100   0.5170     99.82        93.22        1630.25s
73/100   0.5169     99.83        93.23        1652.74s
74/100   0.5161     99.84        93.35        1675.23s
75/100   0.5159     99.86        93.18        1697.70s
76/100   0.5149     99.90        93.27        1720.16s
77/100   0.5140     99.90        93.38        1742.72s
78/100   0.5148     99.86        93.12        1765.17s
79/100   0.5138     99.90        93.67        1787.75s
80/100   0.5124     99.95        93.69        1810.54s
81/100   0.5116     99.97        93.63        1833.28s
82/100   0.5115     99.95        93.49        1855.78s
83/100   0.5118     99.95        93.60        1878.30s
84/100   0.5108     99.97        93.74        1900.73s
85/100   0.5106     99.96        93.63        1923.17s
86/100   0.5103     99.97        93.65        1945.59s
87/100   0.5101     99.98        93.57        1968.12s
88/100   0.5098     99.99        93.74        1990.99s
89/100   0.5097     99.98        93.79        2014.00s
90/100   0.5095     99.99        93.67        2036.40s
91/100   0.5095     99.98        93.73        2058.87s
92/100   0.5092     99.99        93.82        2081.24s
93/100   0.5091     99.98        93.76        2103.63s
94/100   0.5091     99.99        93.94        2126.02s
95/100   0.5089     99.99        93.80        2148.44s
96/100   0.5089     99.99        93.80        2171.04s
97/100   0.5089     99.99        93.75        2194.11s
98/100   0.5087     99.99        93.85        2216.85s
99/100   0.5089     99.99        93.89        2239.30s
100/100   0.5088     99.99        93.87        2261.76s
--------------------------------------------------

訓練完成
