==================================================
MNIST CNN 訓練紀錄
==================================================
電腦名稱     : Mac.youyu08.in
Python 版本  : 3.10.12
PyTorch 版本 : 2.2.0
訓練裝置類型 : MPS
裝置名稱     : Apple M4 Pro
訓練開始時間 : 2026-05-02 13:31:01
總訓練時間   : 475.43 秒

--------------------------------------------------
Epoch    Loss       Train Acc    Test Acc     累計時間
--------------------------------------------------
1/50    0.2097     93.65        98.89        9.79s
2/50    0.0705     97.90        99.00        19.25s
3/50    0.0499     98.51        99.12        28.99s
4/50    0.0403     98.77        99.35        38.08s
5/50    0.0325     99.04        99.21        47.71s
6/50    0.0288     99.08        99.26        57.28s
7/50    0.0252     99.22        99.37        66.92s
8/50    0.0212     99.35        99.38        76.46s
9/50    0.0193     99.37        99.35        85.71s
10/50    0.0172     99.45        99.29        95.28s
11/50    0.0175     99.42        99.26        104.81s
12/50    0.0144     99.50        99.43        114.38s
13/50    0.0132     99.56        99.26        123.51s
14/50    0.0140     99.54        99.33        133.17s
15/50    0.0123     99.61        99.37        142.82s
16/50    0.0114     99.62        99.20        152.45s
17/50    0.0116     99.58        99.41        161.55s
18/50    0.0103     99.64        99.39        171.05s
19/50    0.0086     99.72        99.31        180.73s
20/50    0.0088     99.71        99.17        190.20s
21/50    0.0083     99.71        99.34        199.63s
22/50    0.0089     99.70        99.35        208.97s
23/50    0.0094     99.71        99.38        218.58s
24/50    0.0074     99.75        99.20        228.19s
25/50    0.0094     99.70        99.35        237.81s
26/50    0.0084     99.73        99.29        247.03s
27/50    0.0067     99.77        99.32        256.68s
28/50    0.0085     99.74        99.45        266.27s
29/50    0.0063     99.79        99.35        275.92s
30/50    0.0065     99.78        99.38        285.04s
31/50    0.0068     99.78        99.37        294.67s
32/50    0.0068     99.77        99.29        304.32s
33/50    0.0064     99.79        99.27        314.02s
34/50    0.0063     99.81        99.33        323.12s
35/50    0.0051     99.84        99.38        332.84s
36/50    0.0064     99.79        99.33        342.42s
37/50    0.0053     99.83        99.27        352.01s
38/50    0.0060     99.81        99.29        361.50s
39/50    0.0058     99.81        99.30        370.76s
40/50    0.0060     99.83        99.34        380.37s
41/50    0.0051     99.83        99.42        389.90s
42/50    0.0063     99.80        99.43        399.57s
43/50    0.0069     99.78        99.46        408.73s
44/50    0.0062     99.82        99.43        418.36s
45/50    0.0040     99.86        99.42        427.93s
46/50    0.0050     99.85        99.39        437.47s
47/50    0.0056     99.83        99.34        446.64s
48/50    0.0059     99.82        99.35        456.29s
49/50    0.0045     99.87        99.44        465.90s
50/50    0.0045     99.85        99.45        475.43s
--------------------------------------------------

訓練完成
