==================================================
MNIST CNN 訓練紀錄
==================================================
電腦名稱     : Alberts-MacBook-Pro-6.local
Python 版本  : 3.10.12
PyTorch 版本 : 2.2.0
訓練裝置類型 : MPS
裝置名稱     : Apple M4 Pro
訓練開始時間 : 2026-05-03 14:58:06
總訓練時間   : 239.85 秒

--------------------------------------------------
Epoch    Loss       Train Acc    Test Acc     累計時間
--------------------------------------------------
1/50    0.2144     93.34        98.71        4.94s
2/50    0.0715     97.94        98.88        9.56s
3/50    0.0517     98.48        99.18        14.16s
4/50    0.0432     98.72        99.23        18.90s
5/50    0.0337     98.97        99.22        23.50s
6/50    0.0299     99.11        99.35        28.15s
7/50    0.0246     99.23        99.32        32.98s
8/50    0.0222     99.30        99.42        37.71s
9/50    0.0202     99.36        99.34        42.38s
10/50    0.0173     99.43        99.20        47.13s
11/50    0.0179     99.43        99.35        51.79s
12/50    0.0151     99.50        99.39        56.48s
13/50    0.0125     99.58        99.37        61.22s
14/50    0.0125     99.59        99.35        65.91s
15/50    0.0128     99.61        99.38        70.60s
16/50    0.0130     99.57        99.33        75.27s
17/50    0.0129     99.57        99.33        80.18s
18/50    0.0090     99.69        99.34        85.16s
19/50    0.0091     99.66        99.29        89.87s
20/50    0.0111     99.65        99.41        94.55s
21/50    0.0082     99.71        99.28        99.31s
22/50    0.0099     99.69        99.20        104.08s
23/50    0.0092     99.71        99.44        108.85s
24/50    0.0081     99.75        99.36        113.60s
25/50    0.0077     99.72        99.35        118.47s
26/50    0.0084     99.73        99.45        123.35s
27/50    0.0066     99.78        99.21        128.21s
28/50    0.0056     99.80        99.35        133.22s
29/50    0.0091     99.75        99.38        138.09s
30/50    0.0075     99.77        99.18        142.86s
31/50    0.0059     99.81        99.47        147.66s
32/50    0.0070     99.78        99.36        152.46s
33/50    0.0057     99.81        99.24        157.26s
34/50    0.0081     99.77        99.36        162.09s
35/50    0.0063     99.82        99.34        166.92s
36/50    0.0056     99.82        99.31        171.78s
37/50    0.0069     99.79        99.33        176.58s
38/50    0.0056     99.81        99.26        181.40s
39/50    0.0061     99.82        99.29        186.19s
40/50    0.0045     99.87        99.41        191.07s
41/50    0.0046     99.84        99.33        195.77s
42/50    0.0055     99.84        99.32        200.58s
43/50    0.0050     99.83        99.31        205.39s
44/50    0.0073     99.79        99.36        210.20s
45/50    0.0051     99.83        99.33        215.34s
46/50    0.0045     99.85        99.42        220.25s
47/50    0.0042     99.86        99.45        225.13s
48/50    0.0051     99.84        99.39        230.03s
49/50    0.0070     99.81        99.42        235.06s
50/50    0.0044     99.86        99.33        239.85s
--------------------------------------------------

訓練完成
