==================================================
MNIST CNN 訓練紀錄
==================================================
電腦名稱     : aero01
Python 版本  : 3.10.12
PyTorch 版本 : 2.0.1+cu117
訓練裝置類型 : CUDA
裝置名稱     : NVIDIA L40S (47.67 GB)
CUDA 版本    : 11.7
訓練開始時間 : 2026-05-05 01:00:33
總訓練時間   : 130.41 秒

--------------------------------------------------
Epoch    Loss       Train Acc    Test Acc     累計時間
--------------------------------------------------
1/50    0.2236     93.00        98.54        3.60s
2/50    0.0741     97.92        98.88        6.40s
3/50    0.0536     98.43        98.73        9.23s
4/50    0.0420     98.77        99.10        12.11s
5/50    0.0371     98.86        99.08        14.43s
6/50    0.0309     99.06        99.29        16.05s
7/50    0.0249     99.23        99.36        18.89s
8/50    0.0227     99.31        99.32        21.71s
9/50    0.0212     99.34        99.11        24.64s
10/50    0.0210     99.32        99.29        27.54s
11/50    0.0179     99.46        99.30        29.45s
12/50    0.0146     99.55        99.21        31.29s
13/50    0.0152     99.53        99.34        34.16s
14/50    0.0129     99.59        99.31        36.98s
15/50    0.0133     99.57        99.30        39.97s
16/50    0.0120     99.61        99.36        42.82s
17/50    0.0110     99.67        99.39        44.70s
18/50    0.0105     99.66        99.30        47.22s
19/50    0.0110     99.64        99.37        50.21s
20/50    0.0084     99.72        99.41        53.04s
21/50    0.0100     99.67        99.36        55.86s
22/50    0.0084     99.71        99.39        58.36s
23/50    0.0091     99.70        99.31        59.96s
24/50    0.0088     99.72        99.22        62.72s
25/50    0.0086     99.74        99.30        65.61s
26/50    0.0100     99.70        99.36        68.54s
27/50    0.0075     99.75        99.26        71.37s
28/50    0.0070     99.76        99.37        73.44s
29/50    0.0074     99.75        99.23        75.13s
30/50    0.0058     99.81        99.42        78.00s
31/50    0.0059     99.79        99.37        80.93s
32/50    0.0097     99.69        99.18        83.83s
33/50    0.0083     99.72        99.28        86.69s
34/50    0.0053     99.83        99.25        88.39s
35/50    0.0060     99.82        99.33        90.55s
36/50    0.0071     99.79        99.32        93.48s
37/50    0.0067     99.78        99.32        96.37s
38/50    0.0058     99.82        99.31        99.28s
39/50    0.0057     99.83        99.32        101.97s
40/50    0.0052     99.81        99.38        103.61s
41/50    0.0066     99.82        99.35        106.38s
42/50    0.0062     99.83        99.30        109.32s
43/50    0.0052     99.84        99.34        112.21s
44/50    0.0055     99.82        99.22        115.06s
45/50    0.0071     99.77        99.35        117.15s
46/50    0.0058     99.83        99.38        118.86s
47/50    0.0048     99.84        99.32        121.74s
48/50    0.0038     99.88        99.36        124.62s
49/50    0.0050     99.85        99.39        127.45s
50/50    0.0069     99.79        99.39        130.41s
--------------------------------------------------

訓練完成
