==================================================
MNIST CNN 訓練紀錄
==================================================
電腦名稱     : Jian-Wei-AMD
Python 版本  : 3.10.11
PyTorch 版本 : 2.6.0+cu124
訓練裝置類型 : CUDA
裝置名稱     : NVIDIA GeForce RTX 4060 Ti (17.18 GB)
CUDA 版本    : 12.4
訓練開始時間 : 2026-05-05 01:02:12
總訓練時間   : 371.13 秒

--------------------------------------------------
Epoch    Loss       Train Acc    Test Acc     累計時間
--------------------------------------------------
1/50    0.2258     93.12        98.50        7.26s
2/50    0.0734     97.89        98.96        14.06s
3/50    0.0526     98.45        99.10        21.03s
4/50    0.0422     98.75        99.07        27.98s
5/50    0.0349     98.93        99.07        34.84s
6/50    0.0303     99.11        99.18        41.99s
7/50    0.0247     99.24        99.31        49.46s
8/50    0.0236     99.25        99.27        56.77s
9/50    0.0207     99.37        99.17        63.60s
10/50    0.0197     99.36        99.39        70.62s
11/50    0.0165     99.47        99.34        77.68s
12/50    0.0167     99.49        99.34        84.57s
13/50    0.0147     99.51        99.33        91.37s
14/50    0.0125     99.59        99.19        98.34s
15/50    0.0146     99.54        99.25        105.25s
16/50    0.0129     99.59        99.37        112.12s
17/50    0.0101     99.67        99.34        119.02s
18/50    0.0104     99.67        99.34        126.00s
19/50    0.0121     99.62        99.30        132.93s
20/50    0.0108     99.66        99.37        139.80s
21/50    0.0092     99.69        99.48        146.76s
22/50    0.0098     99.69        99.26        153.56s
23/50    0.0084     99.73        99.38        160.55s
24/50    0.0087     99.72        99.27        167.62s
25/50    0.0094     99.69        99.41        174.50s
26/50    0.0071     99.77        99.38        181.48s
27/50    0.0076     99.77        99.33        188.41s
28/50    0.0082     99.73        99.35        196.75s
29/50    0.0070     99.76        99.35        203.70s
30/50    0.0071     99.76        99.34        231.93s
31/50    0.0064     99.78        99.41        238.99s
32/50    0.0054     99.82        99.24        246.03s
33/50    0.0066     99.78        99.30        253.00s
34/50    0.0076     99.78        99.31        259.87s
35/50    0.0079     99.78        99.25        266.73s
36/50    0.0052     99.81        99.27        273.69s
37/50    0.0079     99.76        99.26        280.61s
38/50    0.0055     99.85        99.26        287.51s
39/50    0.0042     99.85        99.27        294.61s
40/50    0.0063     99.79        99.38        301.63s
41/50    0.0075     99.77        99.25        308.67s
42/50    0.0050     99.85        99.38        315.58s
43/50    0.0050     99.82        99.41        322.61s
44/50    0.0062     99.81        99.29        329.56s
45/50    0.0046     99.84        99.30        336.52s
46/50    0.0044     99.87        99.29        343.46s
47/50    0.0063     99.82        99.36        350.33s
48/50    0.0064     99.80        99.38        357.26s
49/50    0.0042     99.86        99.28        364.10s
50/50    0.0047     99.86        99.37        371.13s
--------------------------------------------------

訓練完成
